entry_time,exit_time,direction,pnl_abs,win
2021-09-14 04:00:00,2021-09-14 08:00:00,L,-3619.73820746332,False
2021-10-14 04:00:00,2021-10-14 12:00:00,L,5502.6381075965255,True
2021-10-15 00:00:00,2021-10-15 04:00:00,L,-3634.801406664386,False
2021-10-20 00:00:00,2021-10-20 08:00:00,L,7987.482718392023,True
2021-10-21 12:00:00,2021-10-21 16:00:00,L,-3669.6228571582074,False
2021-10-22 16:00:00,2021-10-25 00:00:00,L,9100.664685752356,True
2021-10-26 04:00:00,2021-10-26 12:00:00,L,-341.0238244066494,False
2021-10-26 16:00:00,2021-10-27 00:00:00,L,1504.9342141223935,True
2021-10-27 04:00:00,2021-10-27 12:00:00,L,2205.732635179534,True
2021-10-29 04:00:00,2021-10-29 08:00:00,L,-3740.0283359861232,False
2021-11-02 04:00:00,2021-11-02 08:00:00,L,-3710.108109298234,False
2021-11-02 12:00:00,2021-11-02 16:00:00,L,-3680.427244423848,False
2021-11-09 04:00:00,2021-11-09 12:00:00,L,994.658334714766,True
2021-11-10 08:00:00,2021-11-10 12:00:00,L,-3658.9410931461757,False
2021-11-11 04:00:00,2021-11-11 08:00:00,L,9074.173911002516,True
2021-11-12 04:00:00,2021-11-12 08:00:00,L,-3702.2629556890265,False
2021-11-12 12:00:00,2021-11-12 16:00:00,L,9181.612130108786,True
2021-11-15 04:00:00,2021-11-15 12:00:00,L,6199.571443203776,True
2021-11-15 16:00:00,2021-11-16 04:00:00,L,4740.053018929628,True
2021-11-16 16:00:00,2021-11-16 20:00:00,L,-3833.614744781452,False
2021-11-18 12:00:00,2021-11-18 16:00:00,L,-3802.9458268232,False
2021-11-18 20:00:00,2021-11-19 04:00:00,L,4107.667625035059,True
2021-11-19 08:00:00,2021-11-19 12:00:00,L,-3805.383601208895,False
2021-11-19 20:00:00,2021-11-21 20:00:00,L,-3774.9405323992237,False
2021-12-17 16:00:00,2021-12-17 20:00:00,L,-3744.74100814003,False
2021-12-22 08:00:00,2021-12-22 12:00:00,L,9286.957700187275,True
2021-12-27 12:00:00,2021-12-27 20:00:00,L,4080.1785396228393,True
2021-12-28 20:00:00,2021-12-29 00:00:00,L,-3821.7201699933908,False
2021-12-29 08:00:00,2021-12-29 12:00:00,L,-3791.1464086334436,False
2021-12-30 08:00:00,2021-12-30 16:00:00,L,18804.08618682188,True
2022-01-03 12:00:00,2022-01-03 16:00:00,L,-3911.249926858951,False
2022-01-05 08:00:00,2022-01-05 16:00:00,L,14334.535901144192,True
2022-01-05 20:00:00,2022-01-06 00:00:00,L,-3994.6362146532333,False
2022-01-12 04:00:00,2022-01-12 08:00:00,L,-3962.6791249360076,False
2022-01-12 12:00:00,2022-01-12 16:00:00,L,9827.444229841298,True
2022-01-13 08:00:00,2022-01-13 12:00:00,L,-4009.59724577525,False
2022-01-13 16:00:00,2022-01-14 00:00:00,L,9943.80116952262,True
2022-01-14 12:00:00,2022-01-14 16:00:00,L,-4057.070877165229,False
2022-01-14 20:00:00,2022-01-17 00:00:00,L,-3272.9949426832973,False
